Participant Number,Original Keyboard,Keyboard Type,Task Type,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration Level
15,Both,1,A,1,1,1,10,1,1
15,Both,1,B,7,8,4,5,5,2
15,Both,1,C,3,6,1,5,4,2
15,Both,2,A,1,1,1,7,1,1
15,Both,2,B,6,9,3,5,6,2
15,Both,2,C,6,5,2,4,5,2
8,100,1,A,5,5,5,8,5,3
8,100,1,B,8,3,8,3,10,10
8,100,1,C,6,2,6,10,5,6
8,100,2,A,2,2,2,10,2,1
8,100,2,B,7,7,7,8,5,4
8,100,2,C,4,2,2,10,3,2
11,100,1,B,8,6,6,7,6,2
11,100,1,A,6,3,3,10,6,2
11,100,1,C,7,3,3,9,4,2
11,100,2,B,5,3,7,8,6,1
11,100,2,A,5,2,2,10,2,2
11,100,2,C,6,3,6,3,3,2
16,65,1,A,2,2,2,5,2,2
16,65,1,B,6,2,2,4,2,2
16,65,1,C,4,4,3,5,3,2
16,65,2,A,2,2,5,4,2,2
16,65,2,B,7,7,6,3,7,3
16,65,2,C,2,3,3,4,3,3
12,100,1,A,3,3,3,9,3,2
12,100,1,B,6,6,7,5,7,3
12,100,1,C,7,7,6,4,7,4
12,100,2,A,3,3,4,9,4,2
12,100,2,B,5,4,5,8,5,3
12,100,2,C,3,3,5,8,4,2
4,96,1,A,4,4,3,6,4,3
4,96,1,B,3,5,3,5,7,4
4,96,1,C,3,3,2,7,2,2
4,96,2,A,2,2,3,7,3,4
4,96,2,B,4,4,5,5,6,5
4,96,2,C,3,2,3,7,2,2
30,100,1,A,3,3,3,7,3,2
30,100,1,B,8,7,10,4,8,8
30,100,1,C,5,4,4,7,4,3
30,100,2,A,3,3,3,8,3,2
30,100,2,B,7,6,6,7,7,6
30,100,2,C,3,3,3,8,3,2
9,70,1,A,8,6,4,7,4,3
9,70,1,B,9,4,5,9,6,3
9,70,1,C,3,7,9,7,5,2
9,70,2,A,6,6,4,8,3,2
9,70,2,B,8,4,4,9,5,2
9,70,2,C,7,5,4,7,4,3
24,60,1,A,1,2,1,8,1,1
24,60,1,B,6,3,4,6,5,4
24,60,1,C,6,4,4,6,3,5
24,60,2,A,1,4,1,8,2,1
24,60,2,B,6,7,6,6,5,4
24,60,2,C,5,7,6,6,4,6
13,100,1,A,4,6,8,9,3,3
13,100,1,B,8,8,10,2,9,9
13,100,1,C,5,8,9,5,7,8
13,100,2,A,3,4,7,9,3,3
13,100,2,B,6,6,8,5,8,7
13,100,2,C,4,5,6,9,6,4
17,60,1,A,2,2,1,10,2,1
17,60,1,B,4,3,3,9,4,3
17,60,1,C,5,4,4,8,5,3
17,60,2,A,5,3,1,10,3,2
17,60,2,B,6,7,7,8,6,7
17,60,2,C,4,3,3,9,5,4
25,Laptop,1,A,8,7,8,9,9,9
25,Laptop,1,B,9,9,9,5,9,10
25,Laptop,1,C,7,8,6,9,6,5
25,Laptop,2,A,7,7,8,9,6,6
25,Laptop,2,B,10,9,9,4,10,9
25,Laptop,2,C,8,9,8,8,8,8
19,Laptop,1,A,4,3,6,3,7,5
19,Laptop,1,B,6,7,7,2,8,8
