DV,Task,Keyboard,Mean,SD,N,SE,CI_lower,CI_upper
WPM,Task A · Text Entry,KB1 (60%),69.27878787878787,18.638162422429104,33,3.2444876258180293,62.91959213218453,75.6379836253912
WPM,Task A · Text Entry,KB2 (100%),70.3060606060606,19.476764031050234,33,3.390469428127473,63.66074052693075,76.95138068519044
WPM,Task B · Number Entry,KB1 (60%),29.190909090909088,8.993864701713456,33,1.5656308852569698,26.122272555805427,32.25954562601275
WPM,Task B · Number Entry,KB2 (100%),29.542424242424243,7.744878561952663,33,1.3482103057262556,26.89993204320078,32.1849164416477
WPM,Task C · Programming,KB1 (60%),38.375757575757575,12.654421912493431,33,2.202852104001275,34.058167451915075,42.693347699600075
WPM,Task C · Programming,KB2 (100%),37.38484848484848,11.931212250126798,33,2.0769574612119803,33.314011860873,41.455685108823964
Accuracy,Task A · Text Entry,KB1 (60%),92.27575757575757,3.520034650311547,33,0.6127593808090687,91.07474918937179,93.47676596214335
Accuracy,Task A · Text Entry,KB2 (100%),90.9939393939394,4.687479292883557,33,0.8159854076460417,89.39460799495316,92.59327079292564
Accuracy,Task B · Number Entry,KB1 (60%),85.94242424242424,10.082938259227513,33,1.75521425731235,82.50220429809204,89.38264418675644
Accuracy,Task B · Number Entry,KB2 (100%),85.10303030303031,4.682980144128632,33,0.8152022063769884,83.50523397853141,86.70082662752921
Accuracy,Task C · Programming,KB1 (60%),87.87272727272727,13.733905870310364,33,2.3907661410198267,83.18682563632842,92.55862890912613
Accuracy,Task C · Programming,KB2 (100%),86.8,7.954676297625185,33,1.3847314037769411,84.08592644859719,89.5140735514028
ErrorRate,Task A · Text Entry,KB1 (60%),7.799999999999999,3.9595612130638917,33,0.6892711345832617,6.449028576216806,9.150971423783192
ErrorRate,Task A · Text Entry,KB2 (100%),8.393939393939394,4.526238738866093,33,0.7879170299576834,6.8496220152223355,9.938256772656453
ErrorRate,Task B · Number Entry,KB1 (60%),13.22121212121212,6.092657341821259,33,1.0605955086055177,11.142444924345305,15.299979318078936
ErrorRate,Task B · Number Entry,KB2 (100%),14.124242424242425,4.7587439455589475,33,0.8283909913362706,12.500596081223335,15.747888767261514
ErrorRate,Task C · Programming,KB1 (60%),10.05151515151515,4.599328837730105,33,0.8006403830415008,8.48226000075381,11.620770302276492
ErrorRate,Task C · Programming,KB2 (100%),11.33939393939394,4.305587894958379,33,0.7495066482655819,9.8703609087934,12.80842696999448
TotalTime,Task A · Text Entry,KB1 (60%),60.85551515151515,19.69499554950637,33,3.42845865931597,54.13573617925585,67.57529412377446
TotalTime,Task A · Text Entry,KB2 (100%),60.21966666666667,20.863098555923248,33,3.6317992925878237,53.101340053194534,67.3379932801388
TotalTime,Task B · Number Entry,KB1 (60%),111.65630303030302,12.77991822275491,33,2.2246982075226827,107.29589454355856,116.01671151704748
TotalTime,Task B · Number Entry,KB2 (100%),112.29963636363637,12.553810006374018,33,2.1853378192227733,108.01637423795972,116.58289848931301
TotalTime,Task C · Programming,KB1 (60%),95.10687878787878,21.9328118847618,33,3.8180124814166057,87.62357432430224,102.59018325145533
TotalTime,Task C · Programming,KB2 (100%),97.96284848484848,20.362715813959486,33,3.5446938377860873,91.01524856278775,104.91044840690921
