DV,Effect,F,p,df_num,df_den,eta_p2
WPM,Keyboard,0.22364926552597206,0.6369178198563588,1.0,160.0,0.0013958567699037727
WPM,Task,186.95180359236198,1.3569698769892151e-42,2.0,160.0,0.7003204364104586
WPM,Keyboard:Task,0.22365186034345055,0.7998430038026509,2.0,160.0,0.0027878543940232574
Accuracy,Keyboard,0.4827036410903565,0.48820790558876503,1.0,160.0,0.003007823460962456
Accuracy,Task,6.191379857916062,0.002570942006456479,2.0,160.0,0.07183293582400431
Accuracy,Keyboard:Task,0.014390636077937773,0.9857136898837086,2.0,160.0,0.00017985059891775437
ErrorRate,Keyboard,0.42984243623629287,0.5130078823863504,1.0,160.0,0.002679317200022409
ErrorRate,Task,18.076767648135505,8.35424914119644e-08,2.0,160.0,0.18431243281781579
ErrorRate,Keyboard:Task,0.14727533909189372,0.8631731742841413,2.0,160.0,0.0018375588997728545
TotalTime,Keyboard,0.04801482995399143,0.82683361669263,1.0,160.0,0.00030000265860845375
TotalTime,Task,159.4448069770259,8.142638439120474e-39,2.0,160.0,0.6658937773176439
TotalTime,Keyboard:Task,0.37062562487261624,0.6908933930744721,2.0,160.0,0.004611456262671137
