DV,PreferenceMatch,Mean,SD,N,SE,CI_lower,CI_upper
WPM,0,44.195238095238096,21.613680323879535,126,1.9254996818860584,40.42125871874142,47.96921747173477
WPM,1,47.67666666666666,22.85436847064671,60,2.9504862824967524,41.893713552973026,53.4596197803603
Accuracy,0,88.2563492063492,8.335835852815206,126,0.7426152808005018,86.80082325598022,89.71187515671818
Accuracy,1,87.235,9.586993749478635,60,1.2376755710641785,84.80915588071421,89.66084411928578
ErrorRate,0,11.261111111111111,5.500952240799365,126,0.4900637758589907,10.300586110427489,12.221636111794734
ErrorRate,1,10.438333333333333,4.802897842304771,60,0.6200514452260637,9.223032500690248,11.653634165976417
Mental Demand,0,4.492063492063492,2.115640921313565,126,0.18847627335700304,4.122649996283766,4.8614769878432185
Mental Demand,1,3.8333333333333335,2.0098626874985444,60,0.2594721572281848,3.3247679051660914,4.341898761500576
Physical Demand,0,4.222222222222222,2.1610696939761618,126,0.1925233900904573,3.844876377644926,4.5995680667995185
Physical Demand,1,3.2666666666666666,2.1460777519731487,60,0.2770574464352752,2.7236340716535272,3.809699261679806
Temporal Demand,0,4.333333333333333,2.3832750575625963,126,0.2123190172343614,3.9171880595539847,4.749478607112682
Temporal Demand,1,3.55,2.302724988547559,60,0.297280517718012,2.9673301852726963,4.132669814727303
Effort,0,4.531746031746032,2.2827580088533534,126,0.2033642468105601,4.133152107997334,4.93033995549473
Effort,1,3.966666666666667,2.19372500066236,60,0.28320867979080583,3.4115776542766874,4.521755679056646
Frustration Level,0,3.5555555555555554,2.361543751212094,126,0.21038303859315652,3.1432047999129686,3.967906311198142
Frustration Level,1,2.433333333333333,1.7011129623674208,60,0.21961273910888615,2.002892364679916,2.86377430198675
Performance,0,6.5476190476190474,2.2894790424274,126,0.20396300407053836,6.1478515596407926,6.947386535597302
Performance,1,7.583333333333333,1.993988139524649,60,0.25742276189713587,7.078784720014947,8.08788194665172
