Participant Number,GroupNumber,WPM,Accuracy,ErrorRate,MouseTime,Clicks,Backspaces,Scrolls,TotalTime,CorrectChars,IncorrectFixed,IncorrectNotFixed,Keyboard,Task,TaskCode,Original Keyboard,Mental Demand,Physical Demand,Temporal Demand,Performance,Effort,Frustration Level,PreferenceMatch
2,2,89.0,92.4,7.6,0.045,0,25,0,40.982,304,25,0,KB1 (60%),Task A · Text Entry,A,75,1,1,1,9,2,1,0
3,3,73.7,84.9,15.1,0.0,0,54,0,49.531,304,54,0,KB1 (60%),Task A · Text Entry,A,100,3,5,3,8,5,3,0
4,4,61.7,89.6,10.4,0.0,0,40,0,67.079,345,40,0,KB1 (60%),Task A · Text Entry,A,96,4,4,3,6,4,3,0
5,5,68.8,93.5,6.5,0.0,0,24,0,60.183,345,24,0,KB1 (60%),Task A · Text Entry,A,100,1,1,1,10,1,1,0
12,6,53.1,93.8,6.2,0.0,0,23,0,77.976,345,23,0,KB1 (60%),Task A · Text Entry,A,100,3,3,3,9,3,2,0
11,5,57.1,95.6,4.4,0.0,0,16,0,72.495,345,16,0,KB1 (60%),Task A · Text Entry,A,100,6,3,3,10,6,2,0
7,1,82.0,92.7,7.3,0.0,0,24,0,44.502,304,24,0,KB1 (60%),Task A · Text Entry,A,75,5,3,8,5,6,5,0
8,2,66.9,90.4,9.0,0.0,0,30,0,54.191,304,30,0,KB1 (60%),Task A · Text Entry,A,100,5,5,5,8,5,3,0
9,3,70.1,94.7,5.3,3.009,1,17,0,52.004,304,17,0,KB1 (60%),Task A · Text Entry,A,70,8,6,4,7,4,3,0
13,1,55.2,94.7,5.3,0.0,0,17,0,66.053,304,17,0,KB1 (60%),Task A · Text Entry,A,100,4,6,8,9,3,3,0
15,3,93.3,94.7,5.3,0.0,0,17,0,39.113,304,17,0,KB1 (60%),Task A · Text Entry,A,Both,1,1,1,10,1,1,1
16,4,56.5,94.3,5.7,0.0,0,21,0,73.279,345,21,0,KB1 (60%),Task A · Text Entry,A,65,2,2,2,5,2,2,0
17,5,80.7,95.8,4.2,0.0,0,15,0,51.332,345,15,0,KB1 (60%),Task A · Text Entry,A,60,2,2,1,10,2,1,1
18,6,86.8,95.6,4.4,0.0,0,16,0,47.681,345,16,0,KB1 (60%),Task A · Text Entry,A,100,3,2,3,10,2,1,0
19,1,34.2,90.4,9.3,12.02,6,31,0,106.347,304,31,0,KB1 (60%),Task A · Text Entry,A,Laptop,4,3,6,3,7,5,0
20,2,62.9,90.7,9.3,0.0,0,31,0,58.043,304,31,0,KB1 (60%),Task A · Text Entry,A,Laptop,3,3,1,9,2,1,0
1,1,101.0,90.5,9.5,0.0,0,32,0,36.114,304,32,0,KB1 (60%),Task A · Text Entry,A,TKL,5,5,3,8,4,2,0
10,4,69.8,88.9,11.1,0.0,0,43,0,59.317,345,43,0,KB1 (60%),Task A · Text Entry,A,60,5,3,5,5,5,5,1
14,2,102.4,95.6,3.8,0.0,0,12,0,35.382,304,12,0,KB1 (60%),Task A · Text Entry,A,60,3,3,1,8,5,1,1
21,3,36.2,88.9,11.1,0.0,0,38,0,100.85,304,38,0,KB1 (60%),Task A · Text Entry,A,75,2,3,4,5,3,2,0
22,4,60.7,93.8,6.2,0.0,0,23,0,68.168,345,23,0,KB1 (60%),Task A · Text Entry,A,75,4,2,2,4,3,2,0
23,5,71.5,95.0,5.0,0.0,0,18,0,57.928,345,18,0,KB1 (60%),Task A · Text Entry,A,60,1,1,1,10,1,1,1
6,6,34.2,82.6,21.7,2.074,2,70,0,120.0,324,70,20,KB1 (60%),Task A · Text Entry,A,100,3,6,2,10,4,1,0
24,6,80.3,92.7,7.3,0.0,0,27,0,51.559,345,27,0,KB1 (60%),Task A · Text Entry,A,60,1,2,1,8,1,1,1
25,1,48.2,86.4,13.6,0.0,0,48,0,75.73,304,48,0,KB1 (60%),Task A · Text Entry,A,Laptop,8,7,8,9,9,9,0
26,2,48.5,94.7,5.3,0.0,0,17,0,75.173,304,17,0,KB1 (60%),Task A · Text Entry,A,Laptop,3,3,2,10,2,1,0
27,3,106.0,95.9,3.8,0.0,0,12,0,34.316,304,12,0,KB1 (60%),Task A · Text Entry,A,100,1,1,1,10,1,1,0
29,5,82.7,90.8,9.2,0.0,0,35,0,50.032,345,35,0,KB1 (60%),Task A · Text Entry,A,60,7,2,8,6,9,3,1
28,4,73.0,91.5,8.5,0.0,0,32,0,56.716,345,32,0,KB1 (60%),Task A · Text Entry,A,100,4,4,3,8,3,1,0
33,2,56.2,95.6,4.4,0.0,0,14,0,64.946,304,14,0,KB1 (60%),Task A · Text Entry,A,60,3,3,4,6,4,4,1
32,1,73.4,95.3,4.7,0.0,0,15,0,49.666,304,15,0,KB1 (60%),Task A · Text Entry,A,60,2,1,2,9,2,1,1
2,2,96.8,97.1,3.4,0.0,0,12,0,42.76,345,12,0,KB2 (100%),Task A · Text Entry,A,75,2,2,2,8,2,2,0
3,3,100.2,92.8,6.5,0.0,0,24,0,41.297,345,24,0,KB2 (100%),Task A · Text Entry,A,100,1,1,1,10,1,1,1
4,4,64.5,86.2,14.1,0.0,0,50,0,56.587,304,50,0,KB2 (100%),Task A · Text Entry,A,96,2,2,3,7,3,4,0
5,5,79.4,96.2,3.8,0.0,0,12,0,45.967,304,12,0,KB2 (100%),Task A · Text Entry,A,100,1,1,1,10,1,1,1
12,6,44.9,85.6,14.4,0.0,0,51,0,81.212,304,51,0,KB2 (100%),Task A · Text Entry,A,100,3,3,4,9,4,2,1
11,5,51.1,88.5,5.6,2.252,1,18,0,66.877,304,18,0,KB2 (100%),Task A · Text Entry,A,100,5,2,2,10,2,2,1
7,1,81.7,91.5,8.5,0.0,0,32,0,50.701,345,32,0,KB2 (100%),Task A · Text Entry,A,75,5,5,4,7,4,2,0
8,2,73.6,93.2,6.0,0.0,0,22,0,55.797,345,22,0,KB2 (100%),Task A · Text Entry,A,100,2,2,2,10,2,1,1
9,3,71.0,93.7,5.5,0.0,0,20,0,57.839,345,20,0,KB2 (100%),Task A · Text Entry,A,70,6,6,4,8,3,2,0
13,1,62.2,89.4,10.6,0.0,0,41,0,66.536,345,41,0,KB2 (100%),Task A · Text Entry,A,100,3,4,7,9,3,3,1
15,3,78.2,91.0,8.2,0.0,0,31,0,52.501,345,31,0,KB2 (100%),Task A · Text Entry,A,Both,1,1,1,7,1,1,1
16,4,54.8,90.1,8.7,0.0,0,29,0,65.635,304,29,0,KB2 (100%),Task A · Text Entry,A,65,2,2,5,4,2,2,0
17,5,71.8,91.0,8.7,0.0,0,29,0,50.62,304,29,0,KB2 (100%),Task A · Text Entry,A,60,5,3,1,10,3,2,0
18,6,90.0,92.9,6.7,0.0,0,22,0,40.407,304,22,0,KB2 (100%),Task A · Text Entry,A,100,3,2,1,10,1,1,1
19,1,50.3,93.2,6.2,0.0,0,23,0,81.895,345,23,0,KB2 (100%),Task A · Text Entry,A,Laptop,2,2,1,10,3,1,0
20,2,47.1,82.4,17.7,0.0,0,74,0,88.235,345,74,0,KB2 (100%),Task A · Text Entry,A,Laptop,5,6,6,8,6,7,0
1,1,95.5,92.7,7.3,0.0,0,27,0,43.328,345,27,0,KB2 (100%),Task A · Text Entry,A,TKL,2,3,3,8,4,2,0
10,4,94.8,97.1,2.9,0.0,0,9,0,38.468,304,9,0,KB2 (100%),Task A · Text Entry,A,60,3,4,4,6,4,2,0
14,2,75.7,86.0,10.6,0.0,0,41,0,52.66,345,41,0,KB2 (100%),Task A · Text Entry,A,60,4,4,2,6,4,1,0
21,3,32.2,84.3,15.4,0.0,0,57,0,120.0,324,57,2,KB2 (100%),Task A · Text Entry,A,75,3,3,4,3,3,3,0
22,4,62.6,92.6,5.9,0.0,0,19,0,57.301,304,19,0,KB2 (100%),Task A · Text Entry,A,75,2,2,3,4,2,1,0
23,5,84.8,97.7,2.3,0.0,0,7,0,43.04,304,7,0,KB2 (100%),Task A · Text Entry,A,60,1,1,1,10,1,1,0
6,6,48.6,82.3,17.4,0.0,0,64,0,74.784,304,64,0,KB2 (100%),Task A · Text Entry,A,100,3,4,3,8,4,2,1
24,6,80.8,94.4,5.3,2.767,1,17,0,45.026,304,17,0,KB2 (100%),Task A · Text Entry,A,60,1,4,1,8,2,1,0
25,1,40.5,81.6,17.7,4.095,2,74,0,101.259,345,74,0,KB2 (100%),Task A · Text Entry,A,Laptop,7,7,8,9,6,6,0
26,2,39.4,91.3,8.7,0.0,0,33,0,105.103,345,33,0,KB2 (100%),Task A · Text Entry,A,Laptop,3,4,5,10,6,3,0
27,3,77.0,85.2,12.2,0.0,0,48,0,52.233,345,48,0,KB2 (100%),Task A · Text Entry,A,100,1,1,1,7,1,1,1
29,5,95.6,93.0,7.0,0.0,0,23,0,38.146,304,23,0,KB2 (100%),Task A · Text Entry,A,60,6,2,6,9,9,2,0
28,4,66.2,88.9,11.1,0.0,0,38,0,55.081,304,38,0,KB2 (100%),Task A · Text Entry,A,100,3,1,3,8,4,1,1
33,2,53.8,96.4,3.4,0.0,0,12,0,76.738,345,12,0,KB2 (100%),Task A · Text Entry,A,60,4,5,7,4,2,4,0
32,1,68.1,90.5,9.2,0.0,0,35,0,60.608,345,35,0,KB2 (100%),Task A · Text Entry,A,60,2,1,2,8,2,1,0
2,2,26.6,82.4,17.6,0.0,0,56,0,120.0,266,56,1,KB1 (60%),Task B · Number Entry,B,75,3,4,2,4,4,7,0
3,3,45.2,89.3,10.7,0.0,0,37,0,82.298,310,37,0,KB1 (60%),Task B · Number Entry,B,100,3,4,2,4,4,7,0
4,4,29.8,83.7,16.3,0.0,0,58,0,120.0,298,58,0,KB1 (60%),Task B · Number Entry,B,96,3,5,3,5,7,4,0
5,5,20.6,91.2,30.5,1.498,2,19,0,120.0,157,19,50,KB1 (60%),Task B · Number Entry,B,100,5,3,3,4,3,4,0
12,6,18.3,78.9,21.1,0.0,0,49,0,120.0,183,49,0,KB1 (60%),Task B · Number Entry,B,100,6,6,7,5,7,3,0
11,5,26.2,92.3,7.7,0.743,0,22,0,120.0,262,22,0,KB1 (60%),Task B · Number Entry,B,100,8,6,6,7,6,2,0
7,1,42.9,90.9,9.1,0.0,0,31,0,86.757,310,31,0,KB1 (60%),Task B · Number Entry,B,75,8,6,9,6,8,5,0
8,2,25.3,81.1,18.8,0.0,0,59,0,120.0,254,59,0,KB1 (60%),Task B · Number Entry,B,100,8,3,8,3,10,10,0
9,3,37.2,90.6,9.4,0.0,0,32,0,100.002,310,32,0,KB1 (60%),Task B · Number Entry,B,70,9,4,5,9,6,3,0
13,1,16.3,69.7,30.3,0.0,0,71,0,120.0,163,71,0,KB1 (60%),Task B · Number Entry,B,100,8,8,10,2,9,9,0
15,3,31.7,88.3,11.7,0.0,0,41,0,117.507,310,41,0,KB1 (60%),Task B · Number Entry,B,Both,7,8,4,5,5,2,1
