Participant Number,Original Keyboard,Keyboard,TaskCode,PreferenceMatch
1,TKL,KB1 (60%),A,0
1,TKL,KB1 (60%),B,0
1,TKL,KB1 (60%),C,0
1,TKL,KB2 (100%),A,0
1,TKL,KB2 (100%),B,0
1,TKL,KB2 (100%),C,0
2,75,KB1 (60%),A,0
2,75,KB1 (60%),B,0
2,75,KB1 (60%),C,0
2,75,KB2 (100%),A,0
2,75,KB2 (100%),B,0
2,75,KB2 (100%),C,0
3,100,KB1 (60%),A,0
3,100,KB1 (60%),B,0
3,100,KB1 (60%),C,0
3,100,KB2 (100%),A,1
3,100,KB2 (100%),B,1
3,100,KB2 (100%),C,1
4,96,KB1 (60%),A,0
4,96,KB1 (60%),B,0
4,96,KB1 (60%),C,0
4,96,KB2 (100%),A,0
4,96,KB2 (100%),B,0
4,96,KB2 (100%),C,0
5,100,KB1 (60%),A,0
5,100,KB1 (60%),B,0
5,100,KB1 (60%),C,0
5,100,KB2 (100%),A,1
5,100,KB2 (100%),B,1
5,100,KB2 (100%),C,1
6,100,KB1 (60%),A,0
6,100,KB1 (60%),B,0
6,100,KB1 (60%),C,0
6,100,KB2 (100%),A,1
6,100,KB2 (100%),B,1
6,100,KB2 (100%),C,1
7,75,KB1 (60%),A,0
7,75,KB1 (60%),B,0
7,75,KB1 (60%),C,0
7,75,KB2 (100%),A,0
7,75,KB2 (100%),B,0
7,75,KB2 (100%),C,0
8,100,KB1 (60%),A,0
8,100,KB1 (60%),B,0
8,100,KB1 (60%),C,0
8,100,KB2 (100%),A,1
8,100,KB2 (100%),B,1
8,100,KB2 (100%),C,1
9,70,KB1 (60%),A,0
9,70,KB1 (60%),B,0
9,70,KB1 (60%),C,0
9,70,KB2 (100%),A,0
9,70,KB2 (100%),B,0
9,70,KB2 (100%),C,0
10,60,KB1 (60%),A,1
10,60,KB1 (60%),B,1
10,60,KB1 (60%),C,1
10,60,KB2 (100%),A,0
10,60,KB2 (100%),B,0
10,60,KB2 (100%),C,0
11,100,KB1 (60%),A,0
11,100,KB1 (60%),B,0
11,100,KB1 (60%),C,0
11,100,KB2 (100%),A,1
11,100,KB2 (100%),B,1
11,100,KB2 (100%),C,1
12,100,KB1 (60%),A,0
12,100,KB1 (60%),B,0
12,100,KB1 (60%),C,0
12,100,KB2 (100%),A,1
12,100,KB2 (100%),B,1
12,100,KB2 (100%),C,1
13,100,KB1 (60%),A,0
13,100,KB1 (60%),B,0
13,100,KB1 (60%),C,0
13,100,KB2 (100%),A,1
13,100,KB2 (100%),B,1
13,100,KB2 (100%),C,1
14,60,KB1 (60%),A,1
14,60,KB1 (60%),B,1
14,60,KB1 (60%),C,1
14,60,KB2 (100%),A,0
14,60,KB2 (100%),B,0
14,60,KB2 (100%),C,0
15,Both,KB1 (60%),A,1
15,Both,KB1 (60%),B,1
15,Both,KB1 (60%),C,1
15,Both,KB2 (100%),A,1
15,Both,KB2 (100%),B,1
15,Both,KB2 (100%),C,1
16,65,KB1 (60%),A,0
16,65,KB1 (60%),B,0
16,65,KB1 (60%),C,0
16,65,KB2 (100%),A,0
16,65,KB2 (100%),B,0
16,65,KB2 (100%),C,0
17,60,KB1 (60%),A,1
17,60,KB1 (60%),B,1
17,60,KB1 (60%),C,1
17,60,KB2 (100%),A,0
17,60,KB2 (100%),B,0
17,60,KB2 (100%),C,0
18,100,KB1 (60%),A,0
18,100,KB1 (60%),B,0
18,100,KB1 (60%),C,0
18,100,KB2 (100%),A,1
18,100,KB2 (100%),B,1
18,100,KB2 (100%),C,1
19,Laptop,KB1 (60%),A,0
19,Laptop,KB1 (60%),B,0
19,Laptop,KB1 (60%),C,0
