DV,PreferenceMatch,Mean,SD,N,SE,CI_lower,CI_upper
WPM,0,44.237037037037034,22.207426957008252,135,1.9113109948135694,40.490867487202436,47.98320658687163
WPM,1,48.77142857142857,22.166106272440047,63,2.7926668919764426,43.29780146315474,54.2450556797024
Accuracy,0,88.30444444444444,9.308725377794962,135,0.8011675191692941,86.73415610687263,89.87473278201625
Accuracy,1,87.86507936507937,6.7848778421066065,63,0.8548142593412688,86.18964341677048,89.54051531338825
ErrorRate,0,10.904444444444444,5.535784088332638,135,0.4764444351624959,9.970613351525952,11.838275537362936
ErrorRate,1,10.644444444444444,4.587457577470292,63,0.5779653285735816,9.511632400440224,11.777256488448664
Mental Demand,0,4.533333333333333,2.104721061392378,135,0.18114554709299285,4.1782880610310675,4.888378605635599
Mental Demand,1,3.857142857142857,2.006900538040003,63,0.25284570141407475,3.361565282371271,4.3527204319144435
Physical Demand,0,4.281481481481482,2.1218544826519152,135,0.18262015720858715,3.9235459733526508,4.639416989610313
Physical Demand,1,3.3015873015873014,2.1223459375289946,63,0.2673904546071402,2.7775020105573067,3.825672592617296
Temporal Demand,0,4.45925925925926,2.4242646614387917,135,0.20864748134559116,4.050310195821901,4.868208322696618
Temporal Demand,1,3.5714285714285716,2.269817995505123,63,0.2859701874993181,3.010927003929908,4.131930138927235
Effort,0,4.659259259259259,2.305615995531388,135,0.1984358300765,4.270325032309319,5.048193486209199
Effort,1,3.984126984126984,2.1812401288588066,63,0.2748104252702326,3.4454985505973283,4.52275541765664
Frustration Level,0,3.7185185185185183,2.442325329008035,135,0.21020189611708154,3.3065228021290385,4.130514234907998
Frustration Level,1,2.4761904761904763,1.7213755082935844,63,0.21687292894772509,2.0511195354529352,2.9012614169280173
Performance,0,6.511111111111111,2.285145629333869,135,0.19667402146819427,6.12563002903345,6.896592193188772
Performance,1,7.587301587301587,1.947992520311869,63,0.24542398878853064,7.106270569276067,8.068332605327107
